system,case_id,method,mechanism,auc
OB,OB/cartservice_loss/4,median_shift,point,0.53
OB,OB/cartservice_loss/4,nsigma,point,1.0
OB,OB/cartservice_loss/4,qarca,point,1.0
OB,OB/cartservice_loss/4,qarca_no_incident_train,point,1.0
OB,OB/cartservice_loss/4,qarca_no_quality,point,0.6799999999999999
OB,OB/cartservice_loss/4,qarca_no_quality_original,point,1.0
OB,OB/cartservice_loss/4,qarca_original_train,point,1.0
OB,OB/cartservice_loss/4,qarca_quality_only,point,0.14822619047619046
OB,OB/cartservice_loss/4,qarca_structural_only,point,0.1
OB,OB/cartservice_loss/5,baro,point,1.0
OB,OB/cartservice_loss/5,median_shift,point,0.5
OB,OB/cartservice_loss/5,nsigma,point,1.0
OB,OB/cartservice_loss/5,qarca,point,0.575
OB,OB/cartservice_loss/5,qarca_no_incident_train,point,0.515
OB,OB/cartservice_loss/5,qarca_no_quality,point,0.4933333333333333
OB,OB/cartservice_loss/5,qarca_no_quality_original,point,0.645
OB,OB/cartservice_loss/5,qarca_original_train,point,0.56
OB,OB/cartservice_loss/5,qarca_quality_only,point,0.1536865079365079
OB,OB/cartservice_loss/5,qarca_structural_only,point,0.1
OB,OB/cartservice_mem/1,baro,point,1.0
OB,OB/cartservice_mem/1,median_shift,point,0.5
OB,OB/cartservice_mem/1,nsigma,point,1.0
OB,OB/cartservice_mem/1,qarca,point,1.0
OB,OB/cartservice_mem/1,qarca_no_incident_train,point,1.0
OB,OB/cartservice_mem/1,qarca_no_quality,point,1.0
OB,OB/cartservice_mem/1,qarca_no_quality_original,point,1.0
OB,OB/cartservice_mem/1,qarca_original_train,point,1.0
OB,OB/cartservice_mem/1,qarca_quality_only,point,0.2113690476190476
OB,OB/cartservice_mem/1,qarca_structural_only,point,0.1
OB,OB/cartservice_mem/2,baro,point,1.0
OB,OB/cartservice_mem/2,median_shift,point,0.5
OB,OB/cartservice_mem/2,nsigma,point,1.0
OB,OB/cartservice_mem/2,qarca,point,1.0
OB,OB/cartservice_mem/2,qarca_no_incident_train,point,1.0
OB,OB/cartservice_mem/2,qarca_no_quality,point,1.0
OB,OB/cartservice_mem/2,qarca_no_quality_original,point,1.0
