system,mechanism,rate,method,incidents,reciprocal_rank,reciprocal_rank_sd,avg_at_5,hit_at_1,hit_at_3,hit_at_5,normalized_rank,elapsed_ms,realized_rate,reciprocal_rank_se
OB,point,0.5,qarca_no_quality_original,125,0.8971733333333333,0.23639762308601345,0.92976,0.8368,0.9328,0.9927999999999999,0.029266666666666663,53.86614831923507,0.5000001190736444,0.021144046197587987
OB,point,0.5,qarca_original_train,125,0.8881885714285714,0.23949881779389362,0.9264,0.8224,0.9424,0.992,0.030799999999999994,54.095822479994965,0.5000001190736444,0.021421425484719293
OB,point,0.5,qarca_quality_only,125,0.2572606926406926,0.1677781580782798,0.25008,0.0704,0.24159999999999998,0.4512,0.40189954751131224,53.63656247896142,0.5000001190736444,0.015006534664109564
OB,point,0.5,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,53.51337823779322,0.5000001190736444,0.01626035484806362
OB,stream,0.1,baro,125,0.8261402974802975,0.2474014919010798,0.88656,0.7168,0.9152,0.9776,0.049199999999999994,64.70838311961852,0.10293196674614535,0.02212826214502712
OB,stream,0.1,median_shift,125,0.7164273015873016,0.2827558520190139,0.8316800000000001,0.52,0.8976000000000001,0.98,0.07188205128205126,12.083056240575388,0.10293196674614535,0.025290452246015446
OB,stream,0.1,nsigma,125,0.8344352958152959,0.25459017479072016,0.88752,0.736,0.9256,0.9712000000000001,0.04886666666666666,53.69405424115248,0.10293196674614535,0.022771237489424143
OB,stream,0.1,qarca,125,0.8780304761904761,0.22323931221914975,0.9222400000000001,0.8016,0.94,0.9927999999999999,0.032666666666666656,48.68467904091813,0.10293196674614535,0.019967131094892728
OB,stream,0.1,qarca_no_incident_train,125,0.8778495238095239,0.2265252654865188,0.92016,0.8032,0.9336,0.9927999999999999,0.03346666666666666,48.47890704157762,0.10293196674614535,0.02026103568996172
OB,stream,0.1,qarca_no_quality,125,0.8639107936507936,0.2228471938761815,0.9096000000000001,0.7832,0.9264,0.988,0.038666666666666655,48.3267271200195,0.10293196674614535,0.019932058964088666
OB,stream,0.1,qarca_no_quality_original,125,0.8691031746031745,0.22093444240950252,0.91168,0.7928,0.9176,0.9872000000000001,0.03799999999999999,48.313065440487115,0.10293196674614535,0.019760977271946402
OB,stream,0.1,qarca_original_train,125,0.7485526229326229,0.20635546178161984,0.79056,0.6424,0.82,0.8784,0.11875806938159879,48.512995441025126,0.10293196674614535,0.01845699360288247
OB,stream,0.1,qarca_quality_only,125,0.24193290043290042,0.11931863098421269,0.22624,0.076,0.2496,0.3376,0.49266365007541474,48.08445792016573,0.10293196674614535,0.010672182794516488
OB,stream,0.1,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,47.96889816103503,0.10293196674614535,0.01626035484806362
OB,stream,0.3,baro,125,0.7679031812631812,0.21075885758977717,0.8256,0.6504,0.8528,0.9336,0.08786666666666666,55.20979015957564,0.30200525739196715,0.01885084529723757
OB,stream,0.3,median_shift,125,0.6934071328671328,0.2502990532636895,0.79584,0.5064,0.8592000000000001,0.9384,0.10103076923076923,10.631543119437993,0.30200525739196715,0.022387427912058014
OB,stream,0.3,nsigma,125,0.7733149561549562,0.22434423572407264,0.832,0.6576000000000001,0.8664,0.9376,0.08386666666666666,46.322179201012474,0.30200525739196715,0.020065958457570525
OB,stream,0.3,qarca,125,0.8216481074481075,0.21158218999171854,0.87824,0.7192000000000001,0.9128,0.9703999999999999,0.05429411764705881,45.707781839277594,0.30200525739196715,0.01892448638599033
OB,stream,0.3,qarca_no_incident_train,125,0.8205505916305916,0.219721841664194,0.87152,0.7232000000000001,0.9,0.9632000000000001,0.05806666666666666,45.438906558975575,0.30200525739196715,0.019652518964103333
OB,stream,0.3,qarca_no_quality,125,0.80604,0.21459393791361697,0.85776,0.7056,0.8824,0.9504,0.06842745098039216,45.29717983920127,0.30200525739196715,0.019193865309368677
OB,stream,0.3,qarca_no_quality_original,125,0.7929480031080032,0.21123120525651556,0.84464,0.6896,0.8687999999999999,0.9376,0.07976078431372548,45.27524623898789,0.30200525739196715,0.018893093356911188
OB,stream,0.3,qarca_original_train,125,0.5632034898434898,0.17216990709701116,0.59104,0.42719999999999997,0.6112000000000001,0.7048,0.2483101055806938,45.515792158758266,0.30200525739196715,0.015399344637949617
OB,stream,0.3,qarca_quality_only,125,0.26185434787434786,0.09839744688106646,0.25312,0.0816,0.25120000000000003,0.4352,0.42536440422322774,45.030421439372006,0.30200525739196715,0.008800935201539569
OB,stream,0.3,qarca_structural_only,125,0.14720000000000003,0.1817962938926926,0.0688,0.04,0.088,0.088,0.6897737556561087,44.91813415973447,0.30200525739196715,0.01626035484806362
OB,stream,0.5,baro,125,0.7031066644466645,0.1793366699661528,0.75168,0.5808,0.7736000000000001,0.8552000000000001,0.14687058823529411,45.004792880266905,0.496288552644778,0.016040359396110503
OB,stream,0.5,median_shift,125,0.6534552824952825,0.1958638514568342,0.72784,0.4888,0.78,0.8463999999999999,0.1622021116138763,8.864997439924627,0.496288552644778,0.017518595447696097
